Teks,label
"Gambar dengan latar belakang didalam sebuah ruangan sedikit redup terdapat seorang pria dengan menggunakan topi baggy dan menggunakan jaket berwarna hitam, di depannya terdapat dua kue dengan lilin berjumlah delapan buah, dua gelas berisi minuman anggur dan terdapat tambahan caption “Happy birthday suamiku sayang… I luv u… @sehun #suami sejuta umat…” ditambah dengan beberapa emoticon yang menggambarkan kebahagiaan seperti hati berwarna merah",pribadi
"gambar berdominan putih yang terdapat kue ditengahnya. Kue tersebut merupakan kue fondant, bertemakan lautan dan dipenuhi oleh dekorasi karakter animasi baby shark dengan berbagai macam warna ada yang merah muda, hijau, biru, ungu dan kuning. Dimana pada hiu berwarna kuning terdapat hiasan bunga merah pada kepalanya. Ditambahkan beberapa hiasan ikan kecil. Pada bagian atas kue terdapat lilin dengan angka satu, hiasan payung dan pada bagian atas serta bawah dari kue terdapat replica tumbuhan seperti lamun. Pada alas kue terdapat seperti biscuit yang dihancurkan sehingga terlihat seperti pasir yang terdapat di pantai. Pada status tersebut diakhiri dengan tambahan caption “Aduuuh kue ultah farasha bagus banget ya jd sayang motong nya, ini baby shark kesukaan farasha” dan diakhir dengan emoticon tersenyum.",pribadi
"berlatar gambar dimana terdapat 4 buah benda persegi panjang dengan background berwarna putih, tiga dari empat buah benda tersebut masih terbungkus bubble wrap satu benda lagi sudah terbuka berwarna hitam. Ukuran keempat benda tersebut berbeda beda. Benda terkecil terlihat seperti aksesoris. Kemudian, dua benda berikutnya terlihat sedikit lebih besar, seperti ukuran dompet namun benda yang berwarna hitam terlihat tipis. Sedangkan benda yang paling besar berbentuk seperti ukuran album. Status tersebut diakhiri dengan caption “Anak anakku sudah datang.” Dengan tidak ada tambahan emoticon.",pribadi
"gambar dengan dua orang pria berada di mobil pada barisan pertama, seraya menatap ke jalanan dimana kondisi tersebut sudah malam, karena banyak lampu lampu yang menyala dan kondisi di dalam mobil gelap. Di depan mobil terdapat pengendara motor yang sedang berhenti, ditandai dengan lampu rem pada motor tersebut menyala. Pada kursi penumpang terlihat penggunakan baju berkerah berwarna oranye dan menggunakan kacamata. Sedangkan yang menyupir terlihat menggunakan baju berwarna gelap. Status tersebut diakhir dengan caption “Waktu ngobrol jaman now ama anak milenial.. sambil nyetir di jalan yg sdh tdk terlalu ramai di jam 22.30 malah dapat banyak cerita.. #ke kamar untuk ngobrol mereka malah asyik dengan PC masing2#” kemudian ditambahkan emoticon rolling eyes.",pribadi
"Gambar yang terlihat tampak ada tiga macam dan disatukan menjadi bentuk grid. Di bagian kiri, terdapat dua foto yang terlihat berumur lebih lawas dari sebelah kanannya. Semua foto tersebut berisi seorang anak laki-laki yang berbeda umur. Caption yang dituliskan berbunyi 'Semangat ujian nasionalnya adekku semoga setiap soalnya di mempermudah jangan lupa baca bismillah dulu'.",pribadi
"Di latar gambar yang mempunyai warna ungu muda dengan tulisan berwarna putih bertuliskan seperti 'Alhamdulillah atas nikmat Mu untuk hari ini yang lalu dan haru yang akan datang ya Rabb'. Dalam gambar tersebut juga diselipkan emoticon berupa tangan yang sedang menangkup dan wajah yang sedang tersenyum serta mempunyai lingkaran seperti malaikat di atasnya.",pribadi
"Di dalamnya terdapat gambar yang berupa sebuah piring berwarna hijau muda berlatar merah muda dan biru muda, di atasnya terdapat makanan yaitu pisang goreng berwarna kuning kecoklatan dan ditaburi susu kental manis rasa coklat dan juga keju parut. Captionnya berbunyi 'Mata 5 watt, tapi ditodong anak-anak minta dibuatkan pisang pasir' dan diikuti beberapa emoticon yaitu wajah yang menghembuskan nafas, wajah yang sedang tidur, dan wajah yang mengeluarkan lidah.",pribadi
"Di dalam latar berwarna biru donker dan tulisan berwarna putih berbunyi 'Menjaga hati sama pentingnya dengan menjaga lisan. Sebab seseorang jika hatinya baik, maka akan keluar dari lisannya perkataan baik. Lisan mencerminkan kebersihan hati seseorang'. Tidak ada caption ataupun emoticon yang menyertai gambar tersebut.",pribadi
"Dengan caption yang bertuliskan seperti berikut. Pak sopir: Deloken mbak, koyo laron yo. Saiki podo milih ngepit dewe. Dilanjutkan dengan emoticon wajah tertawa sampai menangis. Caption tersebut disertai dengan gambar lalu lintas yang dipenuhi kendaraan, baik motor maupun mobil. Terlihat juga keadaan langit yang masih cerah dan langit berawan.",pribadi
"Caption bertuliskan 'Terus sarapan pecel Madiun yang rasanya nggak mirip pecel Madiun'. Diikuti dengan emoticon wajah yang sedang mengeluarkan lidahnya. Caption tersebut disertai gambar makanan di atas piring plastik yang dilapisi kertas minyak dan berisi nasi putih, sayuran yang ditaburi bumbu berwarna coklat, tempe yang ditepungi lalu digoreng, rempeyek kacang, serta sendok stainless.",pribadi
